,player_name,total_runs,outs,balls_played,average_runs,strike_rate
338,AP Dole,34,2,23,17.0,147.82608695652175
339,AN Ahmed,36,1,27,36.0,133.33333333333334
340,RS Sodhi,4,0,2,0.0,200.0
341,DE Bollinger,21,1,23,21.0,91.30434782608695
342,S Sriram,31,2,38,15.5,81.57894736842105
343,B Sumanth,35,1,38,35.0,92.10526315789474
344,C Madan,15,1,21,15.0,71.42857142857143
345,AG Paunikar,49,5,61,9.8,80.32786885245902
346,MR Marsh,225,12,201,18.75,111.94029850746269
347,Harmeet Singh,18,4,12,4.5,150.0
348,RV Gomez,50,5,53,10.0,94.33962264150944
349,AUK Pathan,39,5,26,7.8,150.0
350,UBT Chand,300,20,314,15.0,95.54140127388536
351,DJ Jacobs,92,7,101,13.142857142857142,91.08910891089108
352,Sunny Singh,43,4,31,10.75,138.70967741935485
353,NJ Rimmington,1,0,1,0.0,100.0
354,AL Menaria,401,21,367,19.095238095238095,109.26430517711172
355,WD Parnell,63,9,80,7.0,78.75
356,JJ van der Wath,18,2,17,9.0,105.88235294117646
357,R Ninan,3,1,6,3.0,50.0
358,MS Wade,22,3,33,7.333333333333333,66.66666666666667
359,TD Paine,10,2,29,5.0,34.48275862068966
360,SB Wagh,2,2,3,1.0,66.66666666666667
361,AC Thomas,20,2,19,10.0,105.26315789473684
362,JEC Franklin,327,11,309,29.727272727272727,105.8252427184466
363,DH Yagnik,170,10,142,17.0,119.71830985915493
364,S Randiv,2,1,4,2.0,50.0
365,BJ Haddin,18,1,11,18.0,163.63636363636363
366,NLTC Perera,422,22,324,19.181818181818183,130.2469135802469
367,NL McCullum,26,1,23,26.0,113.04347826086956
368,JE Taylor,3,1,4,3.0,75.0
369,J Syed Mohammad,29,2,27,14.5,107.4074074074074
370,RN ten Doeschate,326,14,238,23.285714285714285,136.9747899159664
371,TR Birt,75,5,59,15.0,127.11864406779661
372,AG Murtaza,10,1,14,10.0,71.42857142857143
373,Harpreet Singh,20,2,26,10.0,76.92307692307692
374,M Klinger,73,4,78,18.25,93.58974358974359
375,AC Blizzard,120,7,91,17.142857142857142,131.86813186813185
376,I Malhotra,7,0,4,0.0,175.0
377,L Ablish,0,0,2,0.0,0.0
378,CA Ingram,21,2,26,10.5,80.76923076923077
379,P Parameswaran,1,0,3,0.0,33.333333333333336
380,CJ Ferguson,98,6,119,16.333333333333332,82.3529411764706
381,AA Chavan,12,2,11,6.0,109.0909090909091
382,ND Doshi,0,1,13,0.0,0.0
383,Y Gnaneswara Rao,19,1,18,19.0,105.55555555555556
384,S Rana,91,4,82,22.75,110.97560975609755
385,BA Bhatt,6,1,7,6.0,85.71428571428571
386,RE Levi,83,6,74,13.833333333333334,112.16216216216216
387,KK Cooper,116,9,70,12.88888888888889,165.71428571428572
388,HV Patel,108,11,74,9.818181818181818,145.94594594594594
